"Gene","Drug","Drug_Concept_ID","Interaction_Score","Interaction_Type","Directionality","Sources","PubMed_IDs","Program"
"AURKB","MLN-8054","iuphar.ligand:5696",0.064630023801322,"inhibitor","INHIBITORY","DTC; GuideToPharmacology","17360485","Proliferation"
"AURKB","BI-847325","iuphar.ligand:12661",0.145417553552975,"inhibitor","INHIBITORY","MyCancerGenome; TTD",NA,"Proliferation"
"AURKB","CENISERTIB","ncit:C64540",0.290835107105949,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","TdgClinicalTrial; MyCancerGenome; GuideToPharmacology; TALC; TTD",NA,"Proliferation"
"AURKB","PF-562271","iuphar.ligand:9381",0.00559298282896056,NA,NA,"DTC",NA,"Proliferation"
"AURKB","TINENGOTINIB","iuphar.ligand:11887",0.083095744887414,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","OLEIC ACID","rxcui:7631",0.0253263107623362,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL171699","chembl:CHEMBL171699",0.0278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL467987","chembl:CHEMBL467987",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","PHOSMET","chembl:CHEMBL1481873",0.0557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL565893","chembl:CHEMBL565893",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","POLO-LIKE KINASE 1 INHIBITOR GSK461364","ncit:C70948",0.417884127578548,"inhibitor","INHIBITORY","MyCancerGenome; TALC; TTD",NA,"Proliferation"
"PLK1","PROTOPORPHYRIN","drugbank:DB02285",0.0132661627802714,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1412002","chembl:CHEMBL1412002",0.0696473545964246,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL523200","chembl:CHEMBL523200",0.0163876128462176,NA,NA,"DTC",NA,"Proliferation"
"PLK1","SCLEROTIORIN","chembl:CHEMBL1095515",0.0278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE","chembl:CHEMBL1348974",0.0696473545964246,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL24983","chembl:CHEMBL24983",0.0185726278923799,NA,NA,"DTC",NA,"Proliferation"
"PLK1","EMBELIN","chembl:CHEMBL221137",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL175266","chembl:CHEMBL175266",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","NMS-1286937","chembl:CHEMBL1094408",0.557178836771397,"inhibitor","INHIBITORY","MyCancerGenome; TTD",NA,"Proliferation"
"PLK1","ANTISENSE OLIGONUCLEOTIDES","ncit:C1291",0.0168842071748908,NA,NA,"NCI","15141022","Proliferation"
"PLK1","CHEMBL:CHEMBL1310701","chembl:CHEMBL1310701",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL534535","chembl:CHEMBL534535",0.0696473545964246,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL599712","chembl:CHEMBL599712",0.139294709192849,NA,NA,"DTC",NA,"Proliferation"
"PLK1","COMPOUND 8 [PMID: 17480064]","iuphar.ligand:8763",0.00415805102068207,NA,NA,"DTC",NA,"Proliferation"
"PLK1","BI-2536","iuphar.ligand:5666",0.334307302062838,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","DTC; MyCancerGenome; GuideToPharmacology; TALC; ChEMBL","25685941","Proliferation"
"PLK1","CHEMBL:CHEMBL1426508","chembl:CHEMBL1426508",0.0557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL590665","chembl:CHEMBL590665",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL122355","chembl:CHEMBL122355",0.0397984883408141,NA,NA,"DTC",NA,"Proliferation"
"PLK1","ONVANSERTIB","ncit:C143162",0.222871534708559,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","GuideToPharmacology; TALC; TTD; ChEMBL",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL421431","chembl:CHEMBL421431",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","MK-1496","drugbank:DB12763",0.278589418385699,NA,NA,"TTD",NA,"Proliferation"
"PLK1","ACID BLUE 129","chembl:CHEMBL133576",0.0146626009676683,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1519374","chembl:CHEMBL1519374",0.0174118386491062,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1537417","chembl:CHEMBL1537417",0.0309543798206332,NA,NA,"DTC",NA,"Proliferation"
"PLK1","RO3280","iuphar.ligand:9403",0.0557178836771397,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","VOLASERTIB","ncit:C79844",0.278589418385699,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","MyCancerGenome; GuideToPharmacology; TALC; TTD; ChEMBL",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL528373","chembl:CHEMBL528373",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL119878","chembl:CHEMBL119878",0.0397984883408141,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL538798","chembl:CHEMBL538798",0.0278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CRYPTOTANSHINONE","chembl:CHEMBL187460",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","ACITRETIN","rxcui:16818",0.0174118386491062,NA,NA,"DTC",NA,"Proliferation"
"PLK1","RIGOSERTIB","ncit:C152216",0.0696473545964246,NA,NA,"TdgClinicalTrial; TTD",NA,"Proliferation"
"PLK1","MLN0905","iuphar.ligand:9402",0.278589418385699,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","GW853606","iuphar.ligand:8645",0.278589418385699,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","CEFAMANDOLE SODIUM","chembl:CHEMBL1360024",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","OXYTETRACYCLINE ANHYDROUS","rxcui:1545999",0.0139294709192849,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL588749","chembl:CHEMBL588749",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1310138","chembl:CHEMBL1310138",0.0253263107623362,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL585628","chembl:CHEMBL585628",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","1,4-DIMETHOXYANTHRAQUINONE","chembl:CHEMBL570408",0.0278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1232076","chembl:CHEMBL1232076",0.0557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","PURPURIN","chembl:CHEMBL294264",0.0132661627802714,NA,NA,"DTC",NA,"Proliferation"
"PLK1","XY-06-007","iuphar.ligand:12141",0.139294709192849,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL530149","chembl:CHEMBL530149",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","EBSELEN","ncit:C65503",0.00795969766816282,NA,NA,"DTC",NA,"Proliferation"
"PLK1","STAVUDINE","rxcui:59763",0.0214299552604383,NA,NA,"DTC",NA,"Proliferation"
"PLK1","GSK579289A","iuphar.ligand:8150",0.139294709192849,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","PLOGOSERTIB","ncit:C162375",0.278589418385699,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1306556","chembl:CHEMBL1306556",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1605629","chembl:CHEMBL1605629",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL592314","chembl:CHEMBL592314",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","FLUORESCEIN DIACETATE","chembl:CHEMBL1492044",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL585279","chembl:CHEMBL585279",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","GW843682X","chembl:CHEMBL514499",0.00714331842014612,NA,NA,"DTC",NA,"Proliferation"
"PLK1","THIRAM","chembl:CHEMBL120563",0.0121125834080739,NA,NA,"DTC",NA,"Proliferation"
"PLK1","FLUPIRTINE MALEATE","chembl:CHEMBL1256752",0.0214299552604383,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL585654","chembl:CHEMBL585654",0.0557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL587449","chembl:CHEMBL587449",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1363249","chembl:CHEMBL1363249",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1255944","chembl:CHEMBL1255944",0.0309543798206332,NA,NA,"DTC",NA,"Proliferation"
"PLK1","SIMVASTATIN","rxcui:36567",0.00557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","DISULFIRAM","rxcui:3554",0.00679486386306582,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1362503","chembl:CHEMBL1362503",0.0253263107623362,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL184450","chembl:CHEMBL184450",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL602969","chembl:CHEMBL602969",0.0232157848654749,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CEPHALOCHROMIN","chembl:CHEMBL463175",0.0146626009676683,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1503729","chembl:CHEMBL1503729",0.0309543798206332,NA,NA,"DTC",NA,"Proliferation"
"PLK1","IDARUBICIN HYDROCHLORIDE","chembl:CHEMBL1200976",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1451216","chembl:CHEMBL1451216",0.0163876128462176,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL577365","chembl:CHEMBL577365",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL462861","chembl:CHEMBL462861",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL527584","chembl:CHEMBL527584",0.0232157848654749,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL515505","chembl:CHEMBL515505",0.0121125834080739,NA,NA,"DTC",NA,"Proliferation"
"PLK1","BENSERAZIDE HYDROCHLORIDE","chembl:CHEMBL1255778",0.0174118386491062,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL584619","chembl:CHEMBL584619",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","PURPUROGALLIN","chembl:CHEMBL66953",0.00773859495515829,NA,NA,"DTC",NA,"Proliferation"
"PLK1","TOSUFLOXACIN TOSYLATE","chembl:CHEMBL104270",0.0928631394618995,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL84281","chembl:CHEMBL84281",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL223575","chembl:CHEMBL223575",0.0696473545964246,NA,NA,"DTC",NA,"Proliferation"
